NatCode,Comunidad,Capacidad,Embalsada,Variacion (%)
34010000000,Andalucía,11994,5194,0.72
34020000000,Aragón,4590,3516,-0.39
34030000000,Principado de Asturias,456,412,2.19
34060000000,Cantabria,575,258,0.7
34070000000,Castilla y León,8385,7701,1.34
34080000000,Castilla-La Mancha,5800,3133,0.93
34090000000,Cataluña/Catalunya,1950,987,2.62
34130000000,Comunidad de Madrid,1060,948,0.19
34100000000,Comunitat Valenciana,1956,846,0.05
34110000000,Extremadura,14444,10169,0.26
34120000000,Galicia,3220,2806,-0.5
34170000000,La Rioja,190,141,1.05
34180000000,Comunidad Foral de Navarra,1019,962,-0.39
34160000000,País Vasco/Euskadi,252,213,0.0
34140000000,Región de Murcia,148,39,-0.68
