Capital de Provincia;NIVEL 1;NIVEL 2;NIVEL 3;TOTAL
Álava;27;4;0;31
Albacete;32;8;1;41
Alicante;20;9;4;33
Almería;6;0;0;6
Ávila;6;0;0;6
Badajoz;18;13;7;38
Illes Balears;10;0;0;10
Barcelona;18;9;4;31
Burgos;17;13;3;33
Cáceres;19;11;6;36
Cádiz;14;6;4;24
Castellón;23;12;5;40
Ciudad Real;0;0;0;0
Córdoba;19;10;0;29
A Coruña;1;0;0;1
Cuenca;24;18;15;57
Girona;21;21;5;47
Granada;21;21;39;81
Guadalajara;15;15;4;34
Gipuzkoa;22;1;0;23
Huelva;9;5;0;14
Huesca;25;15;16;56
Jaén;25;13;30;68
León;23;19;4;46
Lleida;19;13;21;53
La Rioja;16;14;4;34
Lugo;5;4;0;9
Madrid;21;18;16;55
Málaga;0;0;0;0
Murcia;26;11;0;37
Navarra;24;7;0;31
Ourense;13;11;3;27
Asturias;10;4;0;14
Palencia;21;16;4;41
Las Palmas;0;0;0;0
Pontevedra;16;11;;27
Salamanca;23;16;16;55
Santa Cruz de Tenerife;4;2;;6
Cantabria;0;0;0;0
Segovia;14;9;0;23
Sevilla;10;4;1;15
Soria;24;15;5;44
Tarragona;0;0;0;0
Teruel;24;6;2;32
Toledo;16;1;0;17
Valencia;9;1;0;10
Valladolid;26;15;4;45
Bizkaia;15;0;0;15
Zamora;16;18;12;46
Zaragoza;31;18;19;68
Ceuta;0;0;0;0
Melilla;11;0;0;11
